date,city,rain_level,temperature_bin,traffic_index,event_flag
2024-01-01,Shenzhen,0.8374,mild,1.2073,0
2024-01-02,Shenzhen,0.9924,mild,1.0438,0
2024-01-03,Shenzhen,0.7787,mild,1.0189,0
2024-01-04,Shenzhen,1.0,mild,1.0653,0
2024-01-05,Shenzhen,1.0,mild,1.0536,0
2024-01-06,Shenzhen,1.0,mild,0.9573,0
2024-01-07,Shenzhen,1.0,mild,1.0189,0
2024-01-08,Shenzhen,1.0,mild,1.0257,0
2024-01-09,Shenzhen,0.923,mild,1.0698,1
2024-01-10,Shenzhen,1.0,mild,1.0736,0
2024-01-11,Shenzhen,0.9823,mild,1.0363,0
2024-01-12,Shenzhen,0.9292,mild,1.1066,0
2024-01-13,Shenzhen,0.9004,mild,0.9369,0
2024-01-14,Shenzhen,1.0,mild,0.9438,1
2024-01-15,Shenzhen,1.0,mild,1.0771,0
2024-01-16,Shenzhen,1.0,mild,1.1707,0
2024-01-17,Shenzhen,0.927,mild,1.0115,1
2024-01-18,Shenzhen,1.0,mild,1.0408,0
2024-01-19,Shenzhen,0.9442,mild,1.0275,0
2024-01-20,Shenzhen,0.8754,mild,0.9149,0
2024-01-21,Shenzhen,0.7036,mild,1.0352,0
2024-01-22,Shenzhen,1.0,mild,1.1862,0
2024-01-23,Shenzhen,1.0,mild,1.1391,0
2024-01-24,Shenzhen,1.0,mild,1.0874,0
2024-01-25,Shenzhen,0.7069,mild,1.0605,0
2024-01-26,Shenzhen,0.8508,mild,1.0889,0
2024-01-27,Shenzhen,1.0,mild,0.9521,0
2024-01-28,Shenzhen,1.0,mild,0.9461,0
2024-01-29,Shenzhen,1.0,mild,1.0395,0
2024-01-30,Shenzhen,0.7346,mild,1.1176,0
2024-01-31,Shenzhen,0.6165,mild,1.1071,0
2024-02-01,Shenzhen,0.8412,mild,1.0805,0
2024-02-02,Shenzhen,0.9028,mild,1.0599,0
2024-02-03,Shenzhen,0.4548,mild,0.9405,0
2024-02-04,Shenzhen,0.845,mild,0.8797,0
2024-02-05,Shenzhen,0.6309,mild,1.1046,0
2024-02-06,Shenzhen,0.7124,mild,1.0566,0
2024-02-07,Shenzhen,1.0,mild,1.1171,0
2024-02-08,Shenzhen,0.9705,mild,1.1031,0
2024-02-09,Shenzhen,0.7605,mild,1.1096,0
2024-02-10,Shenzhen,0.8462,mild,1.0968,0
2024-02-11,Shenzhen,1.0,mild,0.9871,0
2024-02-12,Shenzhen,0.7759,mild,1.2304,0
2024-02-13,Shenzhen,0.6808,mild,1.1713,0
2024-02-14,Shenzhen,0.9135,mild,1.2162,0
2024-02-15,Shenzhen,0.906,mild,1.0729,0
2024-02-16,Shenzhen,0.4737,mild,1.0464,0
2024-02-17,Shenzhen,1.0,mild,0.9647,0
2024-02-18,Shenzhen,0.9789,mild,0.9927,0
2024-02-19,Shenzhen,0.8746,mild,1.0355,0
2024-02-20,Shenzhen,0.8884,mild,1.11,0
2024-02-21,Shenzhen,1.0,mild,1.0403,0
2024-02-22,Shenzhen,0.9579,mild,1.0705,0
2024-02-23,Shenzhen,0.9506,hot,1.0922,0
2024-02-24,Shenzhen,0.4315,hot,1.0142,1
2024-02-25,Shenzhen,1.0,hot,0.8859,0
2024-02-26,Shenzhen,0.6351,hot,1.0876,0
2024-02-27,Shenzhen,0.5165,hot,0.9776,0
2024-02-28,Shenzhen,0.8462,hot,1.0981,0
2024-02-29,Shenzhen,0.7811,hot,1.1004,1
2024-03-01,Shenzhen,0.6219,hot,1.0628,0
2024-03-02,Shenzhen,0.6704,hot,0.9708,1
2024-03-03,Shenzhen,0.883,hot,0.8703,0
2024-03-04,Shenzhen,0.306,hot,1.0429,0
2024-03-05,Shenzhen,0.7539,hot,1.1136,0
2024-03-06,Shenzhen,0.572,hot,1.1241,0
2024-03-07,Shenzhen,0.5957,hot,1.0108,0
2024-03-08,Shenzhen,0.8395,hot,1.1388,0
2024-03-09,Shenzhen,0.4996,hot,0.969,0
2024-03-10,Shenzhen,0.8459,hot,0.9258,0
2024-03-11,Shenzhen,0.553,hot,1.0871,0
2024-03-12,Shenzhen,0.7278,hot,1.1228,0
2024-03-13,Shenzhen,0.8466,hot,1.0567,0
2024-03-14,Shenzhen,0.6227,hot,1.084,0
2024-03-15,Shenzhen,0.6505,hot,1.0764,0
2024-03-16,Shenzhen,0.6897,hot,0.949,0
2024-03-17,Shenzhen,0.3353,hot,0.8671,0
2024-03-18,Shenzhen,0.5603,hot,1.1475,0
