date,store_id,category,orders,gmv,stockout_minutes,avg_delivery_time,refund_rate
2024-01-01,S001,beverages,67,1108.67,43.39,36.56,0.0904
2024-01-02,S001,beverages,61,1096.37,33.94,31.27,0.0662
2024-01-03,S001,beverages,48,917.23,51.95,40.86,0.0743
2024-01-04,S001,beverages,84,1495.33,46.73,28.79,0.0883
2024-01-05,S001,beverages,46,864.5,33.76,43.99,0.0904
2024-01-06,S001,beverages,90,1465.71,27.59,37.8,0.0737
2024-01-07,S001,beverages,55,1097.54,50.24,44.14,0.102
2024-01-08,S001,beverages,70,1253.88,24.21,25.25,0.0589
2024-01-09,S001,beverages,61,1148.21,29.13,33.0,0.084
2024-01-10,S001,beverages,65,1106.76,20.35,35.56,0.0617
2024-01-11,S001,beverages,51,934.09,35.54,41.16,0.0854
2024-01-12,S001,beverages,52,956.05,27.26,40.43,0.0783
2024-01-13,S001,beverages,63,1141.22,18.53,39.09,0.055
2024-01-14,S001,beverages,61,1115.1,24.27,36.45,0.073
2024-01-15,S001,beverages,48,894.69,47.8,35.43,0.0793
2024-01-16,S001,beverages,50,901.83,44.46,39.61,0.0733
2024-01-17,S001,beverages,50,876.03,35.58,33.03,0.0656
2024-01-18,S001,beverages,44,867.88,31.76,45.73,0.0859
2024-01-19,S001,beverages,49,959.92,36.09,34.62,0.0659
2024-01-20,S001,beverages,59,1180.67,29.01,32.89,0.0736
2024-01-21,S001,beverages,55,959.04,23.36,37.15,0.0813
2024-01-22,S001,beverages,67,1098.39,44.77,39.08,0.0864
2024-01-23,S001,beverages,58,1008.65,0.53,34.58,0.0686
2024-01-24,S001,beverages,51,949.56,37.83,38.59,0.0863
2024-01-25,S001,beverages,50,857.11,24.25,38.62,0.0753
2024-01-26,S001,beverages,49,967.46,22.27,32.98,0.0872
2024-01-27,S001,beverages,65,1177.49,19.16,33.82,0.0592
2024-01-28,S001,beverages,58,1009.25,29.16,36.85,0.0787
2024-01-29,S001,beverages,54,1017.17,33.68,33.04,0.0735
2024-01-30,S001,beverages,61,1082.09,18.32,34.02,0.0742
2024-01-31,S001,beverages,45,876.87,29.44,41.03,0.0995
2024-02-01,S001,beverages,52,995.47,27.13,28.66,0.0601
2024-02-02,S001,beverages,62,1153.06,24.86,35.52,0.0953
2024-02-03,S001,beverages,67,1184.16,17.18,32.54,0.0591
2024-02-04,S001,beverages,62,1168.69,46.47,34.39,0.0814
2024-02-05,S001,beverages,54,1047.47,10.51,42.66,0.0792
