date,store_id,category,campaign_id,promo_type,promo_depth,coupon_flag
2024-01-04,S001,beverages,C7235,coupon,0.215,1
2024-01-06,S001,beverages,C5582,discount,0.25,0
2024-01-22,S001,beverages,C2443,free_delivery,0.162,1
2024-02-13,S001,beverages,C7922,bundle,0.209,0
2024-02-21,S001,beverages,C2689,coupon,0.19,0
2024-02-25,S001,beverages,C8270,free_delivery,0.05,0
2024-02-29,S001,beverages,C5467,free_delivery,0.12,0
2024-03-18,S001,beverages,C4359,free_delivery,0.313,1
2024-03-23,S001,beverages,C7047,free_delivery,0.219,1
2024-04-06,S001,beverages,C9719,discount,0.201,0
2024-04-17,S001,beverages,C2036,discount,0.102,0
2024-04-24,S001,beverages,C2618,discount,0.053,0
2024-05-05,S001,beverages,C7360,bundle,0.129,0
2024-05-11,S001,beverages,C3020,coupon,0.245,0
2024-05-24,S001,beverages,C4478,discount,0.202,1
2024-06-02,S001,beverages,C6074,bundle,0.301,1
2024-06-10,S001,beverages,C5609,bundle,0.168,0
2024-07-04,S001,beverages,C8366,discount,0.212,0
2024-07-19,S001,beverages,C8522,free_delivery,0.089,0
2024-07-21,S001,beverages,C2578,coupon,0.252,1
2024-07-24,S001,beverages,C8231,coupon,0.218,0
2024-08-03,S001,beverages,C3245,discount,0.05,0
2024-08-07,S001,beverages,C2586,discount,0.154,0
2024-08-13,S001,beverages,C2648,discount,0.234,1
2024-08-14,S001,beverages,C9509,bundle,0.121,0
2024-08-22,S001,beverages,C4104,bundle,0.169,0
2024-09-07,S001,beverages,C1844,coupon,0.115,0
2024-09-08,S001,beverages,C1464,bundle,0.171,0
2024-09-14,S001,beverages,C3141,bundle,0.254,0
2024-09-19,S001,beverages,C8712,discount,0.304,0
2024-09-25,S001,beverages,C9527,discount,0.136,0
2024-09-28,S001,beverages,C1936,coupon,0.162,0
2024-10-09,S001,beverages,C3218,coupon,0.309,1
2024-12-07,S001,beverages,C5742,discount,0.101,1
2024-12-08,S001,beverages,C4940,discount,0.171,0
2024-12-19,S001,beverages,C9988,free_delivery,0.103,0
2024-12-20,S001,beverages,C4863,coupon,0.05,0
2024-12-29,S001,beverages,C8265,coupon,0.087,0
2025-01-03,S001,beverages,C9639,coupon,0.285,1
2024-01-05,S001,snacks,C8436,discount,0.147,1
2024-01-14,S001,snacks,C2087,discount,0.106,1
2024-01-15,S001,snacks,C8846,coupon,0.32,0
2024-01-30,S001,snacks,C9314,discount,0.13,1
2024-02-02,S001,snacks,C8343,coupon,0.101,0
2024-02-10,S001,snacks,C7750,coupon,0.226,1
2024-02-16,S001,snacks,C4825,free_delivery,0.23,1
2024-02-18,S001,snacks,C9720,discount,0.165,1
2024-02-29,S001,snacks,C8109,discount,0.142,1
2024-03-01,S001,snacks,C3090,coupon,0.173,1
2024-03-05,S001,snacks,C1982,free_delivery,0.181,1
2024-03-13,S001,snacks,C1317,bundle,0.154,1
2024-03-24,S001,snacks,C8952,coupon,0.304,1
2024-03-31,S001,snacks,C8013,coupon,0.186,0
2024-04-01,S001,snacks,C6946,discount,0.214,1
2024-04-03,S001,snacks,C8651,discount,0.081,1
2024-04-07,S001,snacks,C7013,coupon,0.163,1
2024-04-08,S001,snacks,C3824,discount,0.183,1
2024-04-13,S001,snacks,C2403,coupon,0.291,1
2024-04-18,S001,snacks,C3815,discount,0.285,0
2024-04-25,S001,snacks,C9944,coupon,0.167,0
2024-05-06,S001,snacks,C7970,discount,0.323,1
2024-05-11,S001,snacks,C3063,discount,0.118,0
2024-05-12,S001,snacks,C4579,discount,0.209,0
2024-05-14,S001,snacks,C2669,discount,0.168,1
2024-05-17,S001,snacks,C3263,coupon,0.119,0
2024-05-25,S001,snacks,C6438,coupon,0.363,0
2024-06-07,S001,snacks,C2649,discount,0.082,0
2024-06-09,S001,snacks,C3046,discount,0.304,1
