store_id,city,city_tier,business_district_type,store_size,opened_days
S001,Wuhan,2,office,L,315
S002,Shenzhen,1,mall,L,1709
S003,Wuhan,2,residential,M,1260
S004,Suzhou,2,transport_hub,L,965
S005,Shanghai,1,residential,M,2144
S006,Nanjing,2,university,L,265
S007,Shanghai,1,mall,L,1665
S008,Guangzhou,1,office,S,1894
S009,Shenzhen,1,transport_hub,M,955
S010,Shanghai,1,office,M,2325
S011,Guangzhou,1,residential,M,872
S012,Chengdu,2,office,L,637
S013,Wuhan,2,office,L,1112
S014,Shanghai,1,office,M,1954
S015,Shenzhen,1,residential,S,1936
S016,Chengdu,2,transport_hub,L,1914
S017,Hangzhou,1,university,S,679
S018,Chengdu,2,office,M,381
S019,Wuhan,2,university,M,326
S020,Shanghai,1,residential,M,1394
S021,Guangzhou,1,office,L,199
S022,Shenzhen,1,office,M,653
S023,Chengdu,2,university,L,2391
S024,Shanghai,1,mall,S,1634
S025,Shenzhen,1,residential,M,1708
S026,Guangzhou,1,university,S,1173
S027,Wuhan,2,office,M,664
S028,Chengdu,2,office,S,807
S029,Shenzhen,1,mall,L,1248
S030,Guangzhou,1,mall,L,1715
S031,Wuhan,2,office,M,300
S032,Suzhou,2,office,S,339
S033,Shanghai,1,university,S,1176
S034,Wuhan,2,transport_hub,M,2073
S035,Chengdu,2,university,M,1553
S036,Shanghai,1,residential,M,312
S037,Shanghai,1,residential,S,519
S038,Guangzhou,1,mall,M,1459
S039,Shanghai,1,university,S,465
S040,Hangzhou,1,mall,S,2305
S041,Hangzhou,1,office,L,487
S042,Hangzhou,1,residential,M,1423
S043,Hangzhou,1,office,S,949
S044,Nanjing,2,residential,M,2003
S045,Shenzhen,1,transport_hub,M,676
S046,Wuhan,2,mall,S,1623
S047,Suzhou,2,residential,S,442
S048,Shanghai,1,mall,L,1385
