date,store_id,category,orders,gmv,stockout_minutes,avg_delivery_time,refund_rate,city,city_tier,business_district_type,store_size,opened_days,day_of_week,month,week_of_month,is_weekend,is_month_start,is_month_end,is_payday_window,is_holiday,campaign_id,promo_type,promo_depth,coupon_flag,rain_level,temperature_bin,traffic_index,event_flag,promo_flag,discount_rate
2024-01-01,S001,beverages,67,1108.67,43.39,36.56,0.0904,Wuhan,2,office,L,315,0,1,1,0,1,0,1,1,,,0.0,0.0,0.7008,hot,1.158,0,0,0.0
2024-01-02,S001,beverages,61,1096.37,33.94,31.27,0.0662,Wuhan,2,office,L,315,1,1,1,0,0,0,1,0,,,0.0,0.0,0.6996,hot,1.0447,0,0,0.0
2024-01-03,S001,beverages,48,917.23,51.95,40.86,0.0743,Wuhan,2,office,L,315,2,1,1,0,0,0,1,0,,,0.0,0.0,0.7474,hot,1.1407,0,0,0.0
2024-01-04,S001,beverages,84,1495.33,46.73,28.79,0.0883,Wuhan,2,office,L,315,3,1,1,0,0,0,0,0,C7235,coupon,0.215,1.0,0.8418,hot,1.1528,0,1,0.215
2024-01-05,S001,beverages,46,864.5,33.76,43.99,0.0904,Wuhan,2,office,L,315,4,1,1,0,0,0,0,0,,,0.0,0.0,0.6935,hot,1.0233,0,0,0.0
2024-01-06,S001,beverages,90,1465.71,27.59,37.8,0.0737,Wuhan,2,office,L,315,5,1,1,1,0,0,0,0,C5582,discount,0.25,0.0,0.5948,hot,0.9462,0,1,0.25
2024-01-07,S001,beverages,55,1097.54,50.24,44.14,0.102,Wuhan,2,office,L,315,6,1,1,1,0,0,0,0,,,0.0,0.0,1.0,hot,0.9962,0,0,0.0
2024-01-08,S001,beverages,70,1253.88,24.21,25.25,0.0589,Wuhan,2,office,L,315,0,1,2,0,0,0,0,0,,,0.0,0.0,0.5103,hot,1.1314,0,0,0.0
2024-01-09,S001,beverages,61,1148.21,29.13,33.0,0.084,Wuhan,2,office,L,315,1,1,2,0,0,0,0,0,,,0.0,0.0,0.5114,hot,0.9995,0,0,0.0
2024-01-10,S001,beverages,65,1106.76,20.35,35.56,0.0617,Wuhan,2,office,L,315,2,1,2,0,0,0,0,0,,,0.0,0.0,0.4406,hot,1.0451,0,0,0.0
2024-01-11,S001,beverages,51,934.09,35.54,41.16,0.0854,Wuhan,2,office,L,315,3,1,2,0,0,0,0,0,,,0.0,0.0,0.627,hot,1.0842,0,0,0.0
2024-01-12,S001,beverages,52,956.05,27.26,40.43,0.0783,Wuhan,2,office,L,315,4,1,2,0,0,0,0,0,,,0.0,0.0,0.6983,hot,1.1468,0,0,0.0
2024-01-13,S001,beverages,63,1141.22,18.53,39.09,0.055,Wuhan,2,office,L,315,5,1,2,1,0,0,0,0,,,0.0,0.0,0.7478,hot,0.8874,0,0,0.0
2024-01-14,S001,beverages,61,1115.1,24.27,36.45,0.073,Wuhan,2,office,L,315,6,1,2,1,0,0,0,0,,,0.0,0.0,0.5846,hot,0.992,1,0,0.0
2024-01-15,S001,beverages,48,894.69,47.8,35.43,0.0793,Wuhan,2,office,L,315,0,1,3,0,0,0,1,0,,,0.0,0.0,0.7725,mild,1.0968,0,0,0.0
2024-01-16,S001,beverages,50,901.83,44.46,39.61,0.0733,Wuhan,2,office,L,315,1,1,3,0,0,0,1,0,,,0.0,0.0,0.8508,mild,1.0396,0,0,0.0
2024-01-17,S001,beverages,50,876.03,35.58,33.03,0.0656,Wuhan,2,office,L,315,2,1,3,0,0,0,0,0,,,0.0,0.0,0.5758,mild,1.084,0,0,0.0
2024-01-18,S001,beverages,44,867.88,31.76,45.73,0.0859,Wuhan,2,office,L,315,3,1,3,0,0,0,0,0,,,0.0,0.0,0.6468,mild,1.027,0,0,0.0
2024-01-19,S001,beverages,49,959.92,36.09,34.62,0.0659,Wuhan,2,office,L,315,4,1,3,0,0,0,0,0,,,0.0,0.0,0.6374,mild,1.0484,0,0,0.0
2024-01-20,S001,beverages,59,1180.67,29.01,32.89,0.0736,Wuhan,2,office,L,315,5,1,3,1,0,0,0,0,,,0.0,0.0,0.6453,mild,0.9253,0,0,0.0
2024-01-21,S001,beverages,55,959.04,23.36,37.15,0.0813,Wuhan,2,office,L,315,6,1,3,1,0,0,0,0,,,0.0,0.0,0.4318,mild,1.0438,0,0,0.0
2024-01-22,S001,beverages,67,1098.39,44.77,39.08,0.0864,Wuhan,2,office,L,315,0,1,4,0,0,0,0,0,C2443,free_delivery,0.162,1.0,0.6536,mild,1.1169,0,1,0.162
2024-01-23,S001,beverages,58,1008.65,0.53,34.58,0.0686,Wuhan,2,office,L,315,1,1,4,0,0,0,0,0,,,0.0,0.0,0.1356,mild,1.054,0,0,0.0
2024-01-24,S001,beverages,51,949.56,37.83,38.59,0.0863,Wuhan,2,office,L,315,2,1,4,0,0,0,0,0,,,0.0,0.0,0.5449,mild,1.0782,0,0,0.0
2024-01-25,S001,beverages,50,857.11,24.25,38.62,0.0753,Wuhan,2,office,L,315,3,1,4,0,0,0,0,0,,,0.0,0.0,0.3741,mild,1.086,1,0,0.0
