feature_name,dtype,missing_ratio
date,datetime64[us],0.0
store_id,str,0.0
category,str,0.0
orders,int64,0.0
gmv,float64,0.0
stockout_minutes,float64,0.0
avg_delivery_time,float64,0.0016647640791476407
refund_rate,float64,0.0016647640791476407
city,str,0.0
city_tier,int64,0.0
business_district_type,str,0.0
store_size,str,0.0
opened_days,int64,0.0
day_of_week,int32,0.0
month,int32,0.0
week_of_month,int64,0.0
is_weekend,int64,0.0
is_month_start,int64,0.0
is_month_end,int64,0.0
is_payday_window,int64,0.0
is_holiday,int64,0.0
campaign_id,str,0.8916381278538813
promo_type,str,0.8916381278538813
promo_depth,float64,0.0
coupon_flag,float64,0.0
rain_level,float64,0.0
temperature_bin,str,0.0
traffic_index,float64,0.0
event_flag,int64,0.0
promo_flag,int64,0.0
discount_rate,float64,0.0
day_of_month,int32,0.0
week_of_year,int64,0.0
lag_1,float64,0.0027397260273972603
lag_7,float64,0.019178082191780823
lag_14,float64,0.038356164383561646
rolling_mean_7,float64,0.019178082191780823
rolling_std_7,float64,0.019178082191780823
rolling_mean_28,float64,0.07671232876712329
promo_last_7d_count,float64,0.019178082191780823
stockout_last_7d_mean,float64,0.019178082191780823
days_since_last_promo,float64,0.0
