date,store_id,category,orders,gmv,stockout_minutes,avg_delivery_time,refund_rate,city,city_tier,business_district_type,store_size,opened_days,day_of_week,month,week_of_month,is_weekend,is_month_start,is_month_end,is_payday_window,is_holiday,campaign_id,promo_type,promo_depth,coupon_flag,rain_level,temperature_bin,traffic_index,event_flag,promo_flag,discount_rate,day_of_month,week_of_year,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_28,promo_last_7d_count,stockout_last_7d_mean,days_since_last_promo
2024-01-01,S001,beverages,67,1108.67,43.39,36.56,0.0904,Wuhan,2,office,L,315,0,1,1,0,1,0,1,1,,,0.0,0.0,0.7008,hot,1.158,0,0,0.0,1,1,,,,,,,,,1.0
2024-01-02,S001,beverages,61,1096.37,33.94,31.27,0.0662,Wuhan,2,office,L,315,1,1,1,0,0,0,1,0,,,0.0,0.0,0.6996,hot,1.0447,0,0,0.0,2,1,67.0,,,,,,,,2.0
2024-01-03,S001,beverages,48,917.23,51.95,40.86,0.0743,Wuhan,2,office,L,315,2,1,1,0,0,0,1,0,,,0.0,0.0,0.7474,hot,1.1407,0,0,0.0,3,1,61.0,,,,,,,,3.0
2024-01-04,S001,beverages,84,1495.33,46.73,28.79,0.0883,Wuhan,2,office,L,315,3,1,1,0,0,0,0,0,C7235,coupon,0.215,1.0,0.8418,hot,1.1528,0,1,0.215,4,1,48.0,,,,,,,,4.0
2024-01-05,S001,beverages,46,864.5,33.76,43.99,0.0904,Wuhan,2,office,L,315,4,1,1,0,0,0,0,0,,,0.0,0.0,0.6935,hot,1.0233,0,0,0.0,5,1,84.0,,,,,,,,0.0
2024-01-06,S001,beverages,90,1465.71,27.59,37.8,0.0737,Wuhan,2,office,L,315,5,1,1,1,0,0,0,0,C5582,discount,0.25,0.0,0.5948,hot,0.9462,0,1,0.25,6,1,46.0,,,,,,,,1.0
2024-01-07,S001,beverages,55,1097.54,50.24,44.14,0.102,Wuhan,2,office,L,315,6,1,1,1,0,0,0,0,,,0.0,0.0,1.0,hot,0.9962,0,0,0.0,7,1,90.0,,,,,,,,0.0
2024-01-08,S001,beverages,70,1253.88,24.21,25.25,0.0589,Wuhan,2,office,L,315,0,1,2,0,0,0,0,0,,,0.0,0.0,0.5103,hot,1.1314,0,0,0.0,8,2,55.0,67.0,,64.42857142857143,17.096365528547707,,2.0,41.08571428571429,1.0
2024-01-09,S001,beverages,61,1148.21,29.13,33.0,0.084,Wuhan,2,office,L,315,1,1,2,0,0,0,0,0,,,0.0,0.0,0.5114,hot,0.9995,0,0,0.0,9,2,70.0,61.0,,64.85714285714286,17.208801734660586,,2.0,38.34571428571429,2.0
2024-01-10,S001,beverages,65,1106.76,20.35,35.56,0.0617,Wuhan,2,office,L,315,2,1,2,0,0,0,0,0,,,0.0,0.0,0.4406,hot,1.0451,0,0,0.0,10,2,61.0,48.0,,64.85714285714286,17.208801734660586,,2.0,37.65857142857143,3.0
2024-01-11,S001,beverages,51,934.09,35.54,41.16,0.0854,Wuhan,2,office,L,315,3,1,2,0,0,0,0,0,,,0.0,0.0,0.627,hot,1.0842,0,0,0.0,11,2,65.0,84.0,,67.28571428571429,15.553287816560262,,2.0,33.144285714285715,4.0
2024-01-12,S001,beverages,52,956.05,27.26,40.43,0.0783,Wuhan,2,office,L,315,4,1,2,0,0,0,0,0,,,0.0,0.0,0.6983,hot,1.1468,0,0,0.0,12,2,51.0,46.0,,62.57142857142857,14.615712354142977,,1.0,31.545714285714286,5.0
2024-01-13,S001,beverages,63,1141.22,18.53,39.09,0.055,Wuhan,2,office,L,315,5,1,2,1,0,0,0,0,,,0.0,0.0,0.7478,hot,0.8874,0,0,0.0,13,2,52.0,90.0,,63.42857142857143,13.624208146495986,,1.0,30.61714285714286,6.0
2024-01-14,S001,beverages,61,1115.1,24.27,36.45,0.073,Wuhan,2,office,L,315,6,1,2,1,0,0,0,0,,,0.0,0.0,0.5846,hot,0.992,1,0,0.0,14,2,63.0,55.0,,59.57142857142857,7.114706432386904,,0.0,29.322857142857146,7.0
2024-01-15,S001,beverages,48,894.69,47.8,35.43,0.0793,Wuhan,2,office,L,315,0,1,3,0,0,0,1,0,,,0.0,0.0,0.7725,mild,1.0968,0,0,0.0,15,3,61.0,70.0,67.0,60.42857142857143,6.827814263660634,,0.0,25.612857142857145,8.0
2024-01-16,S001,beverages,50,901.83,44.46,39.61,0.0733,Wuhan,2,office,L,315,1,1,3,0,0,0,1,0,,,0.0,0.0,0.8508,mild,1.0396,0,0,0.0,16,3,48.0,61.0,61.0,57.285714285714285,6.750661343263227,,0.0,28.982857142857142,9.0
