date,store_id,category,orders,prediction,abs_error,gmv,stockout_minutes,avg_delivery_time,refund_rate,city,city_tier,business_district_type,store_size,opened_days,day_of_week,month,week_of_month,is_weekend,is_month_start,is_month_end,is_payday_window,is_holiday,campaign_id,promo_type,promo_depth,coupon_flag,rain_level,temperature_bin,traffic_index,event_flag,promo_flag,discount_rate,day_of_month,week_of_year,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_28,promo_last_7d_count,stockout_last_7d_mean,days_since_last_promo
2024-12-28,S029,ready_to_eat,114,90.73189294661404,23.26810705338596,2213.99,37.21,43.38,0.0982,Shenzhen,1,mall,L,1248,5,12,4,1,0,0,1,0,C6137,discount,0.282,1.0,0.9782,mild,0.8852,0,1,0.282,28,52,56.0,64.0,79.0,60.142857142857146,5.956189257922437,64.32142857142857,0.0,40.62857142857143,22.0
2024-12-28,S002,ready_to_eat,110,87.73672365074228,22.263276349257723,2406.79,37.39,35.9,0.0901,Shenzhen,1,mall,L,1709,5,12,4,1,0,0,1,0,C5435,discount,0.18,0.0,0.9782,mild,0.8852,0,1,0.18,28,52,52.0,66.0,72.0,62.142857142857146,6.466028441749712,65.39285714285714,0.0,40.082857142857144,10.0
2024-12-28,S013,ready_to_eat,108,85.83473945711916,22.165260542880844,2269.7,21.01,33.89,0.0683,Wuhan,2,office,L,1112,5,12,4,1,0,0,1,0,C9030,coupon,0.191,1.0,0.3624,hot,0.9424,0,1,0.191,28,52,66.0,61.0,60.0,55.714285714285715,7.2044959507771695,57.535714285714285,0.0,37.90285714285715,27.0
2024-12-06,S003,beverages,64,42.72813579162067,21.271864208379327,1141.28,21.83,33.59,0.0585,Wuhan,2,residential,M,1260,4,12,1,0,0,0,0,0,,,0.0,0.0,0.7272,hot,1.0674,0,0,0.0,6,49,40.0,70.0,46.0,48.42857142857143,10.829852920779295,48.035714285714285,1.0,34.778571428571425,6.0
2024-12-28,S029,snacks,94,73.14421628295351,20.855783717046492,1238.49,35.13,37.82,0.088,Shenzhen,1,mall,L,1248,5,12,4,1,0,0,1,0,C8651,discount,0.094,1.0,0.9782,mild,0.8852,0,1,0.094,28,52,52.0,56.0,58.0,56.857142857142854,16.077194732794283,54.607142857142854,1.0,32.70857142857143,5.0
2024-12-15,S009,ready_to_eat,105,84.18641286289332,20.81358713710668,2230.52,30.1,38.45,0.078,Shenzhen,1,transport_hub,M,955,6,12,3,1,0,0,1,0,C9183,discount,0.234,0.0,1.0,mild,0.9034,0,1,0.234,15,50,67.0,60.0,63.0,58.285714285714285,6.019808571549395,58.42857142857143,0.0,35.46142857142857,33.0
2024-12-21,S020,ready_to_eat,102,81.23122504571725,20.768774954282748,2008.64,50.93,38.45,0.0853,Shanghai,1,residential,M,1394,5,12,3,1,0,0,0,0,C7226,coupon,0.247,1.0,0.5289,mild,0.9819,0,1,0.247,21,51,56.0,60.0,56.0,55.857142857142854,4.059087394500381,56.07142857142857,0.0,38.7,12.0
2024-12-29,S013,ready_to_eat,105,84.42759547160881,20.57240452839119,2088.17,39.88,37.63,0.0748,Wuhan,2,office,L,1112,6,12,5,1,0,0,1,0,C6886,free_delivery,0.277,0.0,0.9502,hot,0.9898,0,1,0.277,29,52,108.0,55.0,60.0,62.42857142857143,21.219936717288203,57.785714285714285,1.0,35.66285714285714,0.0
2024-12-28,S004,ready_to_eat,98,78.84799586660498,19.152004133395025,2202.49,32.52,38.71,0.0745,Suzhou,2,transport_hub,L,965,5,12,4,1,0,0,1,0,C7383,discount,0.124,0.0,0.6127,mild,0.9346,0,1,0.124,28,52,56.0,64.0,60.0,57.285714285714285,4.4614753058559655,58.25,0.0,28.861428571428572,17.0
2024-12-29,S041,beverages,96,76.91804132907028,19.081958670929723,1648.22,24.25,34.62,0.059,Hangzhou,1,office,L,487,6,12,5,1,0,0,1,0,C1747,coupon,0.05,0.0,0.6999,hot,0.9568,0,1,0.05,29,52,70.0,63.0,58.0,60.57142857142857,6.214422549122772,56.892857142857146,0.0,36.862857142857145,8.0
