nohup: ignoring input
Evaluation scenes: 312
Loaded ScanNetDepthDataset: 54090 samples.
Loading weights from local directory
[foundation_vggt] step 0/6762 abs_rel=0.2619
[foundation_vggt] step 20/6762 abs_rel=0.1452
[foundation_vggt] step 40/6762 abs_rel=0.1421
[foundation_vggt] step 60/6762 abs_rel=0.3586
[foundation_vggt] step 80/6762 abs_rel=0.1285
[foundation_vggt] step 100/6762 abs_rel=0.2453
[foundation_vggt] step 120/6762 abs_rel=0.4124
[foundation_vggt] step 140/6762 abs_rel=0.3168
[foundation_vggt] step 160/6762 abs_rel=0.1088
[foundation_vggt] step 180/6762 abs_rel=0.2096
[foundation_vggt] step 200/6762 abs_rel=0.2684
[foundation_vggt] step 220/6762 abs_rel=0.3769
[foundation_vggt] step 240/6762 abs_rel=0.4998
[foundation_vggt] step 260/6762 abs_rel=0.2715
[foundation_vggt] step 280/6762 abs_rel=0.5780
[foundation_vggt] step 300/6762 abs_rel=0.4173
[foundation_vggt] step 320/6762 abs_rel=0.2407
[foundation_vggt] step 340/6762 abs_rel=0.1028
[foundation_vggt] step 360/6762 abs_rel=0.1420
[foundation_vggt] step 380/6762 abs_rel=0.1196
[foundation_vggt] step 400/6762 abs_rel=0.2266
[foundation_vggt] step 420/6762 abs_rel=0.2530
[foundation_vggt] step 440/6762 abs_rel=0.3485
[foundation_vggt] step 460/6762 abs_rel=0.2276
[foundation_vggt] step 480/6762 abs_rel=0.2249
[foundation_vggt] step 500/6762 abs_rel=0.1502
[foundation_vggt] step 520/6762 abs_rel=0.1630
[foundation_vggt] step 540/6762 abs_rel=0.1696
[foundation_vggt] step 560/6762 abs_rel=0.1121
[foundation_vggt] step 580/6762 abs_rel=0.2605
[foundation_vggt] step 600/6762 abs_rel=0.1925
[foundation_vggt] step 620/6762 abs_rel=0.3078
[foundation_vggt] step 640/6762 abs_rel=0.1256
[foundation_vggt] step 660/6762 abs_rel=0.3525
[foundation_vggt] step 680/6762 abs_rel=0.3358
[foundation_vggt] step 700/6762 abs_rel=0.0708
[foundation_vggt] step 720/6762 abs_rel=0.5509
[foundation_vggt] step 740/6762 abs_rel=0.0522
[foundation_vggt] step 760/6762 abs_rel=0.2252
[foundation_vggt] step 780/6762 abs_rel=0.2177
[foundation_vggt] step 800/6762 abs_rel=0.0820
[foundation_vggt] step 820/6762 abs_rel=0.2087
[foundation_vggt] step 840/6762 abs_rel=0.1609
[foundation_vggt] step 860/6762 abs_rel=0.1781
[foundation_vggt] step 880/6762 abs_rel=0.3355
[foundation_vggt] step 900/6762 abs_rel=0.3160
[foundation_vggt] step 920/6762 abs_rel=0.2133
[foundation_vggt] step 940/6762 abs_rel=0.2564
[foundation_vggt] step 960/6762 abs_rel=0.2214
[foundation_vggt] step 980/6762 abs_rel=0.2572
[foundation_vggt] step 1000/6762 abs_rel=0.1692
[foundation_vggt] step 1020/6762 abs_rel=0.2346
[foundation_vggt] step 1040/6762 abs_rel=0.1603
[foundation_vggt] step 1060/6762 abs_rel=0.3661
[foundation_vggt] step 1080/6762 abs_rel=0.2277
[foundation_vggt] step 1100/6762 abs_rel=0.3070
[foundation_vggt] step 1120/6762 abs_rel=0.1538
[foundation_vggt] step 1140/6762 abs_rel=0.2729
[foundation_vggt] step 1160/6762 abs_rel=0.4025
[foundation_vggt] step 1180/6762 abs_rel=0.2319
[foundation_vggt] step 1200/6762 abs_rel=0.2163
[foundation_vggt] step 1220/6762 abs_rel=0.3855
[foundation_vggt] step 1240/6762 abs_rel=0.2493
[foundation_vggt] step 1260/6762 abs_rel=0.1781
[foundation_vggt] step 1280/6762 abs_rel=0.0892
[foundation_vggt] step 1300/6762 abs_rel=0.0887
[foundation_vggt] step 1320/6762 abs_rel=0.1070
[foundation_vggt] step 1340/6762 abs_rel=0.1039
[foundation_vggt] step 1360/6762 abs_rel=0.0831
[foundation_vggt] step 1380/6762 abs_rel=0.5298
[foundation_vggt] step 1400/6762 abs_rel=0.2461
[foundation_vggt] step 1420/6762 abs_rel=0.2876
[foundation_vggt] step 1440/6762 abs_rel=0.4426
[foundation_vggt] step 1460/6762 abs_rel=0.3948
[foundation_vggt] step 1480/6762 abs_rel=0.3827
[foundation_vggt] step 1500/6762 abs_rel=0.1823
[foundation_vggt] step 1520/6762 abs_rel=0.1587
[foundation_vggt] step 1540/6762 abs_rel=0.2667
[foundation_vggt] step 1560/6762 abs_rel=0.1597
[foundation_vggt] step 1580/6762 abs_rel=0.0978
[foundation_vggt] step 1600/6762 abs_rel=0.0991
[foundation_vggt] step 1620/6762 abs_rel=0.2355
[foundation_vggt] step 1640/6762 abs_rel=0.1370
[foundation_vggt] step 1660/6762 abs_rel=0.2354
[foundation_vggt] step 1680/6762 abs_rel=0.1664
[foundation_vggt] step 1700/6762 abs_rel=0.2444
[foundation_vggt] step 1720/6762 abs_rel=0.1917
[foundation_vggt] step 1740/6762 abs_rel=0.2136
[foundation_vggt] step 1760/6762 abs_rel=0.2250
[foundation_vggt] step 1780/6762 abs_rel=0.3880
[foundation_vggt] step 1800/6762 abs_rel=0.1177
[foundation_vggt] step 1820/6762 abs_rel=0.1795
[foundation_vggt] step 1840/6762 abs_rel=0.1170
[foundation_vggt] step 1860/6762 abs_rel=0.2432
[foundation_vggt] step 1880/6762 abs_rel=0.1710
[foundation_vggt] step 1900/6762 abs_rel=0.2453
[foundation_vggt] step 1920/6762 abs_rel=0.0805
[foundation_vggt] step 1940/6762 abs_rel=0.1303
[foundation_vggt] step 1960/6762 abs_rel=0.1362
[foundation_vggt] step 1980/6762 abs_rel=0.1033
[foundation_vggt] step 2000/6762 abs_rel=0.2422
[foundation_vggt] step 2020/6762 abs_rel=0.4005
[foundation_vggt] step 2040/6762 abs_rel=0.2694
[foundation_vggt] step 2060/6762 abs_rel=0.1236
[foundation_vggt] step 2080/6762 abs_rel=0.1758
[foundation_vggt] step 2100/6762 abs_rel=0.0746
[foundation_vggt] step 2120/6762 abs_rel=0.3701
[foundation_vggt] step 2140/6762 abs_rel=0.1909
[foundation_vggt] step 2160/6762 abs_rel=0.0362
[foundation_vggt] step 2180/6762 abs_rel=0.1079
[foundation_vggt] step 2200/6762 abs_rel=0.1664
[foundation_vggt] step 2220/6762 abs_rel=0.1855
[foundation_vggt] step 2240/6762 abs_rel=0.1102
[foundation_vggt] step 2260/6762 abs_rel=0.1742
[foundation_vggt] step 2280/6762 abs_rel=0.2346
[foundation_vggt] step 2300/6762 abs_rel=0.1425
[foundation_vggt] step 2320/6762 abs_rel=0.2290
[foundation_vggt] step 2340/6762 abs_rel=0.2096
[foundation_vggt] step 2360/6762 abs_rel=0.2898
[foundation_vggt] step 2380/6762 abs_rel=0.6853
[foundation_vggt] step 2400/6762 abs_rel=0.1234
[foundation_vggt] step 2420/6762 abs_rel=0.1875
[foundation_vggt] step 2440/6762 abs_rel=0.3979
[foundation_vggt] step 2460/6762 abs_rel=0.1643
[foundation_vggt] step 2480/6762 abs_rel=0.4123
[foundation_vggt] step 2500/6762 abs_rel=0.1232
[foundation_vggt] step 2520/6762 abs_rel=0.1440
[foundation_vggt] step 2540/6762 abs_rel=0.3130
[foundation_vggt] step 2560/6762 abs_rel=0.1363
[foundation_vggt] step 2580/6762 abs_rel=0.2609
[foundation_vggt] step 2600/6762 abs_rel=0.1778
[foundation_vggt] step 2620/6762 abs_rel=0.2317
[foundation_vggt] step 2640/6762 abs_rel=0.1105
[foundation_vggt] step 2660/6762 abs_rel=0.1110
[foundation_vggt] step 2680/6762 abs_rel=0.1827
[foundation_vggt] step 2700/6762 abs_rel=0.2559
[foundation_vggt] step 2720/6762 abs_rel=0.1174
[foundation_vggt] step 2740/6762 abs_rel=0.1709
[foundation_vggt] step 2760/6762 abs_rel=0.1096
[foundation_vggt] step 2780/6762 abs_rel=0.3674
[foundation_vggt] step 2800/6762 abs_rel=0.1772
[foundation_vggt] step 2820/6762 abs_rel=0.3255
[foundation_vggt] step 2840/6762 abs_rel=0.2238
[foundation_vggt] step 2860/6762 abs_rel=0.1473
[foundation_vggt] step 2880/6762 abs_rel=0.1543
[foundation_vggt] step 2900/6762 abs_rel=0.1087
[foundation_vggt] step 2920/6762 abs_rel=0.2588
[foundation_vggt] step 2940/6762 abs_rel=0.1427
[foundation_vggt] step 2960/6762 abs_rel=0.2151
[foundation_vggt] step 2980/6762 abs_rel=0.0499
[foundation_vggt] step 3000/6762 abs_rel=0.0921
[foundation_vggt] step 3020/6762 abs_rel=0.3367
[foundation_vggt] step 3040/6762 abs_rel=0.1659
[foundation_vggt] step 3060/6762 abs_rel=0.2640
[foundation_vggt] step 3080/6762 abs_rel=0.2091
[foundation_vggt] step 3100/6762 abs_rel=0.3192
[foundation_vggt] step 3120/6762 abs_rel=0.1827
[foundation_vggt] step 3140/6762 abs_rel=0.3685
[foundation_vggt] step 3160/6762 abs_rel=0.1465
[foundation_vggt] step 3180/6762 abs_rel=0.1743
[foundation_vggt] step 3200/6762 abs_rel=0.1877
